Book-Title,num_rating,avg_rating,Book-Author,Year-Of-Publication,Image-URL-M
Harry Potter and the Prisoner of Azkaban (Book 3),428,5.852803738317757,J. K. Rowling,2001,http://images.amazon.com/images/P/0439136369.01.MZZZZZZZ.jpg
Harry Potter and the Goblet of Fire (Book 4),387,5.8242894056847545,J. K. Rowling,2002,http://images.amazon.com/images/P/0439139600.01.MZZZZZZZ.jpg
Harry Potter and the Sorcerer's Stone (Book 1),278,5.737410071942446,J. K. Rowling,2001,http://images.amazon.com/images/P/043936213X.01.MZZZZZZZ.jpg
Harry Potter and the Order of the Phoenix (Book 5),347,5.501440922190202,J. K. Rowling,2003,http://images.amazon.com/images/P/043935806X.01.MZZZZZZZ.jpg
Harry Potter and the Chamber of Secrets (Book 2),556,5.183453237410072,J. K. Rowling,1999,http://images.amazon.com/images/P/0439064864.01.MZZZZZZZ.jpg
The Hobbit : The Enchanting Prelude to The Lord of the Rings,281,5.00711743772242,J.R.R. TOLKIEN,1986,http://images.amazon.com/images/P/0345339681.01.MZZZZZZZ.jpg
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",368,4.948369565217392,J. R. R. Tolkien,2001,http://images.amazon.com/images/P/0618129030.01.MZZZZZZZ.jpg
Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),575,4.895652173913043,J. K. Rowling,1999,http://images.amazon.com/images/P/059035342X.01.MZZZZZZZ.jpg
"The Two Towers (The Lord of the Rings, Part 2)",260,4.880769230769231,J. R. R. Tolkien,1999,http://images.amazon.com/images/P/0618002235.01.MZZZZZZZ.jpg
To Kill a Mockingbird,510,4.7,Harper Lee,1988,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg
The Da Vinci Code,898,4.642538975501114,Dan Brown,2003,http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg
The Five People You Meet in Heaven,430,4.551162790697674,Mitch Albom,2003,http://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg
The Catcher in the Rye,449,4.5456570155902005,J.D. Salinger,1991,http://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg
The Lovely Bones: A Novel,1295,4.468725868725869,Alice Sebold,2002,http://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg
1984,284,4.454225352112676,George Orwell,1990,http://images.amazon.com/images/P/0451524934.01.MZZZZZZZ.jpg
Prodigal Summer: A Novel,253,4.450592885375494,Barbara Kingsolver,2001,http://images.amazon.com/images/P/0060959037.01.MZZZZZZZ.jpg
Neverwhere,265,4.449056603773585,Neil Gaiman,1998,http://images.amazon.com/images/P/0380789019.01.MZZZZZZZ.jpg
The Secret Life of Bees,774,4.447028423772609,Sue Monk Kidd,2003,http://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg
Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,283,4.3568904593639575,Michael Moore,2002,http://images.amazon.com/images/P/0060392452.01.MZZZZZZZ.jpg
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",493,4.354969574036511,MITCH ALBOM,1997,http://images.amazon.com/images/P/0385484518.01.MZZZZZZZ.jpg
The Red Tent (Bestselling Backlist),723,4.334716459197787,Anita Diamant,1998,http://images.amazon.com/images/P/0312195516.01.MZZZZZZZ.jpg
The Hitchhiker's Guide to the Galaxy,268,4.3283582089552235,Douglas Adams,1988,http://images.amazon.com/images/P/0671664964.01.MZZZZZZZ.jpg
Nickel and Dimed: On (Not) Getting By in America,335,4.28955223880597,Barbara Ehrenreich,2002,http://images.amazon.com/images/P/0805063897.01.MZZZZZZZ.jpg
Into the Wild,252,4.273809523809524,Jon Krakauer,1997,http://images.amazon.com/images/P/0385486804.01.MZZZZZZZ.jpg
Fahrenheit 451,409,4.264058679706602,RAY BRADBURY,1987,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg
Girl with a Pearl Earring,526,4.218631178707224,Tracy Chevalier,2001,http://images.amazon.com/images/P/0452282152.01.MZZZZZZZ.jpg
Outlander,283,4.173144876325089,Diana Gabaldon,1998,http://images.amazon.com/images/P/0385319959.01.MZZZZZZZ.jpg
Where the Heart Is (Oprah's Book Club (Paperback)),585,4.105982905982906,Billie Letts,1998,http://images.amazon.com/images/P/0446672211.01.MZZZZZZZ.jpg
Seabiscuit: An American Legend,275,4.098181818181819,LAURA HILLENBRAND,2002,http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg
Life of Pi,664,4.088855421686747,Yann Martel,2003,http://images.amazon.com/images/P/0156027321.01.MZZZZZZZ.jpg
The Bean Trees,389,4.087403598971722,Barbara Kingsolver,1998,http://images.amazon.com/images/P/0061097314.01.MZZZZZZZ.jpg
"A Child Called \It\"": One Child's Courage to Survive""",265,4.086792452830188,Dave Pelzer,1995,http://images.amazon.com/images/P/1558743669.01.MZZZZZZZ.jpg
ANGELA'S ASHES,279,4.075268817204301,Frank McCourt,1996,http://images.amazon.com/images/P/0684874350.01.MZZZZZZZ.jpg
Good in Bed,490,4.055102040816327,Jennifer Weiner,2002,http://images.amazon.com/images/P/0743418174.01.MZZZZZZZ.jpg
Fast Food Nation: The Dark Side of the All-American Meal,321,4.037383177570093,Eric Schlosser,2002,http://images.amazon.com/images/P/0060938455.01.MZZZZZZZ.jpg
American Gods,302,4.006622516556291,Neil Gaiman,2002,http://images.amazon.com/images/P/0380789035.01.MZZZZZZZ.jpg
Skipping Christmas,322,4.0062111801242235,JOHN GRISHAM,2001,http://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg
Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),318,4.00314465408805,Tim Lahaye,1996,http://images.amazon.com/images/P/0842329129.01.MZZZZZZZ.jpg
"The Golden Compass (His Dark Materials, Book 1)",336,4.0,PHILIP PULLMAN,2002,http://images.amazon.com/images/P/037582345X.01.MZZZZZZZ.jpg
The Color Purple,314,3.964968152866242,Alice Walker,1985,http://images.amazon.com/images/P/0671617028.01.MZZZZZZZ.jpg
Silence of the Lambs,256,3.9609375,Thomas Harris,1991,http://images.amazon.com/images/P/0312924585.01.MZZZZZZZ.jpg
About a Boy,262,3.900763358778626,Nick Hornby,1998,http://images.amazon.com/images/P/1573220876.01.MZZZZZZZ.jpg
Seven Up (A Stephanie Plum Novel),278,3.8884892086330933,Janet Evanovich,2002,http://images.amazon.com/images/P/0312980140.01.MZZZZZZZ.jpg
The Alchemist: A Fable About Following Your Dream,266,3.8759398496240602,Paulo Coelho,1993,http://images.amazon.com/images/P/0062502174.01.MZZZZZZZ.jpg
Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),269,3.825278810408922,Janet Evanovich,2002,http://images.amazon.com/images/P/0312265859.01.MZZZZZZZ.jpg
Suzanne's Diary for Nicholas,457,3.8205689277899344,James Patterson,2002,http://images.amazon.com/images/P/0446679593.01.MZZZZZZZ.jpg
Lord of the Flies,259,3.8185328185328187,William Gerald Golding,1959,http://images.amazon.com/images/P/0399501487.01.MZZZZZZZ.jpg
A Prayer for Owen Meany,413,3.7966101694915255,John Irving,1990,http://images.amazon.com/images/P/0345361792.01.MZZZZZZZ.jpg
"The Vampire Lestat (Vampire Chronicles, Book II)",301,3.777408637873754,ANNE RICE,1986,http://images.amazon.com/images/P/0345313860.01.MZZZZZZZ.jpg
White Oleander : A Novel (Oprah's Book Club),356,3.7724719101123596,Janet Fitch,2000,http://images.amazon.com/images/P/0316284955.01.MZZZZZZZ.jpg
